"Laptop HP 245 G10 R7- 7730U/16GB/512GB/14"" FHD/Win11_8F157PA",15.990.000 ₫
"Laptop Dell Vostro V3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21",16.390.000 ₫
"Laptop MSI Gaming Thin 15 B13UCX-2080VN i5 13420H/16GB/512GB/15.6"" FHD/RTX 2050 4GB/Win 11_Balo",16.490.000 ₫
"Laptop Dell Vostro 15 V3530 i5 1335U/16GB/512GB/15.6""FHD/Win11/Office HS21",18.390.000 ₫
"Laptop Dell Inspiron N3520 i5 1235U/8GB/512GB/15.6""FHD/Win11/Office HS21",15.390.000 ₫
"Laptop Dell Vostro 14 3420 (V4I5703W1) i5-1235U/16GB/512GB/14"" FHD/Win11/Office HS21",16.390.000 ₫
Laptop Asus Vivobook X1504ZA-NJ1039W i7-1255U/16GB/512GB/15.6'' FHD/Win11,15.990.000 ₫
"Laptop MSI Gaming Thin A15 B7UCX-240VN R5-7535HS/16GB/512GB/15.6""FHD/RTX2050 4GB/Win11_Balo",16.490.000 ₫
"Laptop Dell Inspiron N3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21",16.390.000 ₫
"Laptop Dell Vostro V3520 i5-1235U/16GB/512GB/15.6""FHD/Win11/Office HS21",16.390.000 ₫
" Laptop Acer Aspire 5 A515-58M-56YX i5 13420H/16GB/512GB/15.6""FHD/Win11",14.690.000 ₫
"Laptop MSI Gaming Cyborg 15 A12UC-621VN i5 12450H/16GB/512GB/15.6""FHD/RTX3050 4GB/Win11_Balo",16.990.000 ₫
Laptop Acer Swift Lite 14 AI SFL14-51M-56HS Ultra5 125U/16GB/512GB/Win11,18.490.000 ₫
Laptop Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H/16GB/512GB/15.6'FHD/Win11,17.390.000 ₫
"Laptop HP 15-fc0089AU R7-7730U/16GB/512GB/15.6""FHD/AMD Radeon/Win11_A94XWPA",15.990.000 ₫
"Laptop Asus Vivobook 15 X1504ZA-NJ517W i5-1235U/16GB/512GB/15.6"" FHD/Win11",14.290.000 ₫
"Laptop Lenovo V15 G4 IRU i5 13420H/16GB/512GB/15.6""FHD/Win 11",14.990.000 ₫
"Laptop Asus Vivobook X1504VA-NJ526W i5 1335U/16GB/512GB SSD/15.6"" FHD/Win11",15.890.000 ₫
"Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/512GB/15.6"" FHD/Win 11",17.790.000 ₫
